date,actif,prix,bande_basse,moyenne,bande_haute,decision,position,capital,quantite_detenue,prix_entree,pnl_pct,valeur_totale
2026-07-16 20:21:14 UTC,ETH/USD,1873.87,1870.22,1872.27,1874.32,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:22:19 UTC,ETH/USD,1873.17,1870.24,1872.25,1874.26,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:23:17 UTC,ETH/USD,1872.8,1870.26,1872.22,1874.17,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:24:18 UTC,ETH/USD,1872.41,1870.27,1872.2,1874.13,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:25:24 UTC,ETH/USD,1871.97,1870.25,1872.17,1874.1,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:26:20 UTC,ETH/USD,1871.44,1870.26,1872.1,1873.94,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:27:15 UTC,ETH/USD,1871.85,1870.27,1872.03,1873.78,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:28:21 UTC,ETH/USD,1872.14,1870.28,1872.0,1873.72,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:29:15 UTC,ETH/USD,1872.12,1870.28,1871.99,1873.71,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:30:44 UTC,ETH/USD,1870.94,1870.26,1871.97,1873.68,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:31:18 UTC,ETH/USD,1870.6,1870.05,1871.88,1873.72,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:32:18 UTC,ETH/USD,1871.84,1870.04,1871.84,1873.65,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:33:17 UTC,ETH/USD,1873.21,1870.06,1871.9,1873.75,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:34:18 UTC,ETH/USD,1873.29,1870.09,1872.0,1873.92,HOLD,0.0,958.49,0.0,,,958.49
2026-07-16 20:35:24 UTC,ETH/USD,1872.69,1870.17,1872.06,1873.96,HOLD,0.0,958.49,0.0,,,958.49
